"","Cell","Organism","Attribute","Value","Nlevel"
"185",5,"10","StoredNitrogen",0.036164,"low"
"186",6,"10","StoredNitrogen",0.036648,"low"
"187",7,"10","StoredNitrogen",0.030418,"low"
"188",8,"10","StoredNitrogen",0.029942,"low"
"189",9,"10","StoredNitrogen",0.030004,"low"
"190",10,"10","StoredNitrogen",0.02986,"low"
"191",11,"10","StoredNitrogen",0.032556,"low"
"192",12,"10","StoredNitrogen",0.033703,"low"
"193",13,"10","StoredNitrogen",0.078296,"low"
"194",14,"10","StoredNitrogen",0.029749,"low"
"195",15,"10","StoredNitrogen",0.029319,"low"
"196",16,"10","StoredNitrogen",0.051572,"low"
"197",17,"10","StoredNitrogen",0.05259,"low"
"198",18,"10","StoredNitrogen",0.085655,"low"
"199",19,"10","StoredNitrogen",0.12101,"low"
"200",20,"10","StoredNitrogen",1.5726,"low"
"201",1,"11","StoredNitrogen",1.3627,"low"
"202",2,"11","StoredNitrogen",0.1008,"low"
"203",3,"11","StoredNitrogen",0.078649,"low"
"204",4,"11","StoredNitrogen",0.05005,"low"
"205",5,"11","StoredNitrogen",0.04973,"low"
"206",6,"11","StoredNitrogen",0.046924,"low"
"207",7,"11","StoredNitrogen",0.019947,"low"
"208",8,"11","StoredNitrogen",0.019962,"low"
"209",9,"11","StoredNitrogen",0.066132,"low"
"210",10,"11","StoredNitrogen",0.063177,"low"
"211",11,"11","StoredNitrogen",0.022056,"low"
"212",12,"11","StoredNitrogen",0.022056,"low"
"213",13,"11","StoredNitrogen",0.0439,"low"
"214",14,"11","StoredNitrogen",0.040875,"low"
"215",15,"11","StoredNitrogen",0.043007,"low"
"216",16,"11","StoredNitrogen",0.035526,"low"
"217",17,"11","StoredNitrogen",0.035544,"low"
"218",18,"11","StoredNitrogen",0.04974,"low"
"219",19,"11","StoredNitrogen",0.051842,"low"
"220",20,"11","StoredNitrogen",0.75862,"low"
"221",1,"12","StoredNitrogen",0.69306,"low"
"222",2,"12","StoredNitrogen",0.050152,"low"
"223",3,"12","StoredNitrogen",0.046032,"low"
"224",4,"12","StoredNitrogen",0.062007,"low"
"225",5,"12","StoredNitrogen",0.041055,"low"
"226",6,"12","StoredNitrogen",0.040975,"low"
"227",7,"12","StoredNitrogen",0.023186,"low"
"228",8,"12","StoredNitrogen",0.023159,"low"
"229",9,"12","StoredNitrogen",0.048842,"low"
"230",10,"12","StoredNitrogen",0.070425,"low"
"231",11,"12","StoredNitrogen",0.023116,"low"
"232",12,"12","StoredNitrogen",0.022906,"low"
"233",13,"12","StoredNitrogen",0.041799,"low"
"234",14,"12","StoredNitrogen",0.048419,"low"
"235",15,"12","StoredNitrogen",0.046595,"low"
"236",16,"12","StoredNitrogen",0.048851,"low"
"237",17,"12","StoredNitrogen",0.081241,"low"
"238",18,"12","StoredNitrogen",0.050223,"low"
"239",19,"12","StoredNitrogen",0.050223,"low"
"240",20,"12","StoredNitrogen",1.4094,"low"
"241",1,"13","StoredNitrogen",0.73235,"low"
"242",2,"13","StoredNitrogen",0.032465,"low"
"243",3,"13","StoredNitrogen",0.032422,"low"
"244",4,"13","StoredNitrogen",0.048221,"low"
"245",5,"13","StoredNitrogen",0.060811,"low"
"246",6,"13","StoredNitrogen",0.0387,"low"
"247",7,"13","StoredNitrogen",0.038295,"low"
"248",8,"13","StoredNitrogen",0.046242,"low"
"249",9,"13","StoredNitrogen",0.04633,"low"
"250",10,"13","StoredNitrogen",0.037453,"low"
"251",11,"13","StoredNitrogen",0.03876,"low"
"252",12,"13","StoredNitrogen",0.057664,"low"
"253",13,"13","StoredNitrogen",0.020974,"low"
"254",14,"13","StoredNitrogen",0.020974,"low"
"255",15,"13","StoredNitrogen",0.04535,"low"
"256",16,"13","StoredNitrogen",0.046981,"low"
"257",17,"13","StoredNitrogen",0.088356,"low"
"258",18,"13","StoredNitrogen",0.057113,"low"
"259",19,"13","StoredNitrogen",0.060982,"low"
"260",20,"13","StoredNitrogen",1.3711,"low"
"261",1,"14","StoredNitrogen",0.82438,"low"
"262",2,"14","StoredNitrogen",0.070229,"low"
"263",3,"14","StoredNitrogen",0.051853,"low"
"264",4,"14","StoredNitrogen",0.069933,"low"
"265",5,"14","StoredNitrogen",0.044284,"low"
"266",6,"14","StoredNitrogen",0.043321,"low"
"267",7,"14","StoredNitrogen",0.045738,"low"
"268",8,"14","StoredNitrogen",0.046146,"low"
"269",9,"14","StoredNitrogen",0.067478,"low"
"270",10,"14","StoredNitrogen",0.023812,"low"
"271",11,"14","StoredNitrogen",0.022522,"low"
"272",12,"14","StoredNitrogen",0.044808,"low"
"273",13,"14","StoredNitrogen",0.049284,"low"
"274",14,"14","StoredNitrogen",0.047966,"low"
"275",15,"14","StoredNitrogen",0.048654,"low"
"276",16,"14","StoredNitrogen",0.04469,"low"
"277",17,"14","StoredNitrogen",0.045324,"low"
"278",18,"14","StoredNitrogen",0.066638,"low"
"279",19,"14","StoredNitrogen",0.066638,"low"
"280",20,"14","StoredNitrogen",1.4691,"low"
"281",1,"15","StoredNitrogen",1.4008,"low"
"282",2,"15","StoredNitrogen",0.04974,"low"
"283",3,"15","StoredNitrogen",0.04974,"low"
"284",4,"15","StoredNitrogen",0.076163,"low"
"285",5,"15","StoredNitrogen",0.045341,"low"
"286",6,"15","StoredNitrogen",0.045016,"low"
"287",7,"15","StoredNitrogen",0.023476,"low"
"288",8,"15","StoredNitrogen",0.023466,"low"
"289",9,"15","StoredNitrogen",0.043707,"low"
"290",10,"15","StoredNitrogen",0.023978,"low"
"291",11,"15","StoredNitrogen",0.02405,"low"
"292",12,"15","StoredNitrogen",0.076008,"low"
"293",13,"15","StoredNitrogen",0.026167,"low"
"294",14,"15","StoredNitrogen",0.024584,"low"
"295",15,"15","StoredNitrogen",0.045851,"low"
"296",16,"15","StoredNitrogen",0.076579,"low"
"297",17,"15","StoredNitrogen",0.029701,"low"
"298",18,"15","StoredNitrogen",0.031762,"low"
"299",19,"15","StoredNitrogen",0.10117,"low"
"300",20,"15","StoredNitrogen",0.69305,"low"
"301",1,"16","StoredNitrogen",1.4757,"low"
"302",2,"16","StoredNitrogen",0.060627,"low"
"303",3,"16","StoredNitrogen",0.060627,"low"
"304",4,"16","StoredNitrogen",0.088975,"low"
"305",5,"16","StoredNitrogen",0.053349,"low"
"306",6,"16","StoredNitrogen",0.050498,"low"
"307",7,"16","StoredNitrogen",0.025275,"low"
"308",8,"16","StoredNitrogen",0.025295,"low"
"309",9,"16","StoredNitrogen",0.044778,"low"
"310",10,"16","StoredNitrogen",0.077287,"low"
"311",11,"16","StoredNitrogen",0.020796,"low"
"312",12,"16","StoredNitrogen",0.020694,"low"
"313",13,"16","StoredNitrogen",0.044499,"low"
"314",14,"16","StoredNitrogen",0.047488,"low"
"315",15,"16","StoredNitrogen",0.045615,"low"
"316",16,"16","StoredNitrogen",0.046228,"low"
"317",17,"16","StoredNitrogen",0.065913,"low"
"318",18,"16","StoredNitrogen",0.041947,"low"
"319",19,"16","StoredNitrogen",0.042041,"low"
"320",20,"16","StoredNitrogen",0.7186,"low"
