"","Cell","Organism","Attribute","Value","Nlevel"
"13720",20,"26","HetN",1.5074,"none"
"13721",1,"27","HetN",1.5016,"none"
"13722",2,"27","HetN",1.0501,"none"
"13723",3,"27","HetN",0.55098,"none"
"13724",4,"27","HetN",0.21657,"none"
"13725",5,"27","HetN",0.15769,"none"
"13726",6,"27","HetN",0.23157,"none"
"13727",7,"27","HetN",0.33282,"none"
"13728",8,"27","HetN",0.77484,"none"
"13729",9,"27","HetN",1.7384,"none"
"13730",10,"27","HetN",2.867,"none"
"13731",11,"27","HetN",0.9073,"none"
"13732",12,"27","HetN",0.9073,"none"
"13733",13,"27","HetN",0.65813,"none"
"13734",14,"27","HetN",0.40343,"none"
"13735",15,"27","HetN",0.2338,"none"
"13736",16,"27","HetN",0.22225,"none"
"13737",17,"27","HetN",0.42741,"none"
"13738",18,"27","HetN",0.45825,"none"
"13739",19,"27","HetN",0.82955,"none"
"13740",20,"27","HetN",1.834,"none"
"13741",1,"28","HetN",1.5208,"none"
"13742",2,"28","HetN",0.98429,"none"
"13743",3,"28","HetN",0.5212,"none"
"13744",4,"28","HetN",0.18332,"none"
"13745",5,"28","HetN",0.18332,"none"
"13746",6,"28","HetN",0.20082,"none"
"13747",7,"28","HetN",0.2865,"none"
"13748",8,"28","HetN",0.83311,"none"
"13749",9,"28","HetN",1.5552,"none"
"13750",10,"28","HetN",3.0647,"none"
"13751",11,"28","HetN",1.1082,"none"
"13752",12,"28","HetN",0.58585,"none"
"13753",13,"28","HetN",0.44915,"none"
"13754",14,"28","HetN",0.22526,"none"
"13755",15,"28","HetN",0.15741,"none"
"13756",16,"28","HetN",0.15657,"none"
"13757",17,"28","HetN",0.25943,"none"
"13758",18,"28","HetN",0.49292,"none"
"13759",19,"28","HetN",1.3655,"none"
"13760",20,"28","HetN",1.8059,"none"
"13761",1,"29","HetN",1.502,"none"
"13762",2,"29","HetN",0.57027,"none"
"13763",3,"29","HetN",0.57027,"none"
"13764",4,"29","HetN",0.51955,"none"
"13765",5,"29","HetN",0.24451,"none"
"13766",6,"29","HetN",0.23409,"none"
"13767",7,"29","HetN",0.39842,"none"
"13768",8,"29","HetN",0.69433,"none"
"13769",9,"29","HetN",1.6246,"none"
"13770",10,"29","HetN",2.9849,"none"
"13771",11,"29","HetN",1.1509,"none"
"13772",12,"29","HetN",0.58846,"none"
"13773",13,"29","HetN",0.43081,"none"
"13774",14,"29","HetN",0.1988,"none"
"13775",15,"29","HetN",0.15073,"none"
"13776",16,"29","HetN",0.24742,"none"
"13777",17,"29","HetN",0.36004,"none"
"13778",18,"29","HetN",0.53559,"none"
"13779",19,"29","HetN",1.0223,"none"
"13780",20,"29","HetN",1.8301,"none"
"13781",1,"30","HetN",1.8706,"none"
"13782",2,"30","HetN",1.1204,"none"
"13783",3,"30","HetN",0.54871,"none"
"13784",4,"30","HetN",0.27788,"none"
"13785",5,"30","HetN",0.19122,"none"
"13786",6,"30","HetN",0.20358,"none"
"13787",7,"30","HetN",0.27868,"none"
"13788",8,"30","HetN",0.64555,"none"
"13789",9,"30","HetN",1.3787,"none"
"13790",10,"30","HetN",3.1832,"none"
"13791",11,"30","HetN",0.72946,"none"
"13792",12,"30","HetN",0.72946,"none"
"13793",13,"30","HetN",0.65164,"none"
"13794",14,"30","HetN",0.22541,"none"
"13795",15,"30","HetN",0.1428,"none"
"13796",16,"30","HetN",0.16202,"none"
"13797",17,"30","HetN",0.24876,"none"
"13798",18,"30","HetN",0.40716,"none"
"13799",19,"30","HetN",1.0087,"none"
"13800",20,"30","HetN",1.483,"none"
"13801",1,"1","Length",2.9569,"none"
"13802",2,"1","Length",3.6316,"none"
"13803",3,"1","Length",3.9298,"none"
"13804",4,"1","Length",2.8901,"none"
"13805",5,"1","Length",2.8723,"none"
"13806",6,"1","Length",3.1245,"none"
"13807",7,"1","Length",2.906,"none"
"13808",8,"1","Length",4.5505,"none"
"13809",9,"1","Length",2.6532,"none"
"13810",10,"1","Length",2.743,"none"
"13811",11,"1","Length",3.2711,"none"
"13812",12,"1","Length",2.5,"none"
"13813",13,"1","Length",2.5,"none"
"13814",14,"1","Length",3.5785,"none"
"13815",15,"1","Length",3.9336,"none"
"13816",16,"1","Length",2.7539,"none"
"13817",17,"1","Length",2.7213,"none"
"13818",18,"1","Length",2.8678,"none"
"13819",19,"1","Length",2.7321,"none"
"13820",20,"1","Length",3.0212,"none"
"13821",1,"2","Length",2.9462,"none"
"13822",2,"2","Length",4.1713,"none"
"13823",3,"2","Length",4.7459,"none"
"13824",4,"2","Length",3.8155,"none"
"13825",5,"2","Length",4.0877,"none"
"13826",6,"2","Length",2.6935,"none"
"13827",7,"2","Length",2.6949,"none"
"13828",8,"2","Length",4.0689,"none"
"13829",9,"2","Length",2.5,"none"
"13830",10,"2","Length",2.5,"none"
"13831",11,"2","Length",4.015,"none"
"13832",12,"2","Length",3.7359,"none"
"13833",13,"2","Length",3.1503,"none"
"13834",14,"2","Length",4.4164,"none"
"13835",15,"2","Length",3.1102,"none"
"13836",16,"2","Length",3.1805,"none"
"13837",17,"2","Length",4.8838,"none"
"13838",18,"2","Length",4.1276,"none"
"13839",19,"2","Length",3.4717,"none"
"13840",20,"2","Length",2.7023,"none"
"13841",1,"3","Length",2.9714,"none"
"13842",2,"3","Length",2.5,"none"
"13843",3,"3","Length",2.5,"none"
"13844",4,"3","Length",4.199,"none"
"13845",5,"3","Length",3.252,"none"
"13846",6,"3","Length",3.1247,"none"
"13847",7,"3","Length",3.0311,"none"
"13848",8,"3","Length",3.2787,"none"
"13849",9,"3","Length",4.8674,"none"
"13850",10,"3","Length",4.8721,"none"
"13851",11,"3","Length",4.0657,"none"
"13852",12,"3","Length",3.4985,"none"
"13853",13,"3","Length",3.0845,"none"
"13854",14,"3","Length",3.4814,"none"
"13855",15,"3","Length",4.0098,"none"
"13856",16,"3","Length",3.4117,"none"
"13857",17,"3","Length",3.2546,"none"
"13858",18,"3","Length",4.0936,"none"
"13859",19,"3","Length",4.7728,"none"
"13860",20,"3","Length",2.9653,"none"
"13861",1,"4","Length",3.0379,"none"
"13862",2,"4","Length",4.7465,"none"
"13863",3,"4","Length",4.406,"none"
"13864",4,"4","Length",3.1373,"none"
"13865",5,"4","Length",3.2471,"none"
"13866",6,"4","Length",2.7857,"none"
"13867",7,"4","Length",3.0129,"none"
"13868",8,"4","Length",2.531,"none"
"13869",9,"4","Length",2.5315,"none"
"13870",10,"4","Length",4.2352,"none"
"13871",11,"4","Length",2.5,"none"
"13872",12,"4","Length",2.5,"none"
"13873",13,"4","Length",4.8791,"none"
"13874",14,"4","Length",4.2744,"none"
"13875",15,"4","Length",4.0662,"none"
"13876",16,"4","Length",2.6762,"none"
"13877",17,"4","Length",2.6999,"none"
"13878",18,"4","Length",2.75,"none"
"13879",19,"4","Length",2.7438,"none"
"13880",20,"4","Length",2.8918,"none"
"13881",1,"5","Length",3.0275,"none"
"13882",2,"5","Length",4.8587,"none"
"13883",3,"5","Length",2.5,"none"
"13884",4,"5","Length",2.5,"none"
"13885",5,"5","Length",2.7295,"none"
"13886",6,"5","Length",2.6803,"none"
"13887",7,"5","Length",3.6563,"none"
"13888",8,"5","Length",3.1705,"none"
"13889",9,"5","Length",4.1342,"none"
"13890",10,"5","Length",4.3417,"none"
"13891",11,"5","Length",3.9103,"none"
"13892",12,"5","Length",2.5152,"none"
"13893",13,"5","Length",2.5194,"none"
"13894",14,"5","Length",4.422,"none"
"13895",15,"5","Length",4.9493,"none"
"13896",16,"5","Length",3.6017,"none"
"13897",17,"5","Length",3.3637,"none"
"13898",18,"5","Length",4.8608,"none"
"13899",19,"5","Length",4.433,"none"
"13900",20,"5","Length",3.0359,"none"
"13901",1,"6","Length",3.1169,"none"
"13902",2,"6","Length",4.6564,"none"
"13903",3,"6","Length",2.5,"none"
"13904",4,"6","Length",2.5,"none"
"13905",5,"6","Length",3.4083,"none"
"13906",6,"6","Length",3.4238,"none"
"13907",7,"6","Length",4.4469,"none"
"13908",8,"6","Length",4.0395,"none"
"13909",9,"6","Length",2.8587,"none"
"13910",10,"6","Length",2.9891,"none"
"13911",11,"6","Length",3.8234,"none"
"13912",12,"6","Length",2.7418,"none"
"13913",13,"6","Length",2.772,"none"
"13914",14,"6","Length",4.3288,"none"
"13915",15,"6","Length",4.5801,"none"
"13916",16,"6","Length",2.7854,"none"
"13917",17,"6","Length",2.6571,"none"
"13918",18,"6","Length",4.0984,"none"
"13919",19,"6","Length",4.3164,"none"
"13920",20,"6","Length",2.7034,"none"
"13921",1,"7","Length",2.8558,"none"
"13922",2,"7","Length",4.4774,"none"
"13923",3,"7","Length",2.5749,"none"
"13924",4,"7","Length",2.5527,"none"
"13925",5,"7","Length",3.0827,"none"
"13926",6,"7","Length",2.984,"none"
"13927",7,"7","Length",2.664,"none"
"13928",8,"7","Length",2.6721,"none"
"13929",9,"7","Length",4.535,"none"
"13930",10,"7","Length",4.6659,"none"
"13931",11,"7","Length",3.2853,"none"
"13932",12,"7","Length",3.1866,"none"
"13933",13,"7","Length",3.9637,"none"
"13934",14,"7","Length",2.5,"none"
"13935",15,"7","Length",2.5,"none"
"13936",16,"7","Length",3.9094,"none"
"13937",17,"7","Length",4.4204,"none"
"13938",18,"7","Length",3.9707,"none"
"13939",19,"7","Length",4.5219,"none"
"13940",20,"7","Length",3.1314,"none"
"13941",1,"8","Length",2.9664,"none"
"13942",2,"8","Length",3.2484,"none"
"13943",3,"8","Length",2.8889,"none"
"13944",4,"8","Length",3.3175,"none"
"13945",5,"8","Length",3.6543,"none"
"13946",6,"8","Length",2.6536,"none"
"13947",7,"8","Length",2.7441,"none"
"13948",8,"8","Length",3.9225,"none"
"13949",9,"8","Length",2.5275,"none"
"13950",10,"8","Length",2.5115,"none"
"13951",11,"8","Length",3.8644,"none"
"13952",12,"8","Length",4.5596,"none"
"13953",13,"8","Length",4.0312,"none"
"13954",14,"8","Length",2.6871,"none"
"13955",15,"8","Length",2.7719,"none"
"13956",16,"8","Length",2.5,"none"
"13957",17,"8","Length",2.5,"none"
"13958",18,"8","Length",4.0468,"none"
"13959",19,"8","Length",3.5554,"none"
"13960",20,"8","Length",2.9829,"none"
"13961",1,"9","Length",3.0035,"none"
"13962",2,"9","Length",4.3716,"none"
"13963",3,"9","Length",3.8628,"none"
"13964",4,"9","Length",3.4247,"none"
"13965",5,"9","Length",3.6415,"none"
"13966",6,"9","Length",2.5,"none"
"13967",7,"9","Length",2.5,"none"
"13968",8,"9","Length",4.4552,"none"
"13969",9,"9","Length",3.4978,"none"
"13970",10,"9","Length",3.1789,"none"
"13971",11,"9","Length",3.8789,"none"
"13972",12,"9","Length",4.81,"none"
"13973",13,"9","Length",4.5615,"none"
"13974",14,"9","Length",3.3725,"none"
"13975",15,"9","Length",3.6999,"none"
"13976",16,"9","Length",3.0163,"none"
"13977",17,"9","Length",3.3532,"none"
"13978",18,"9","Length",4.3657,"none"
"13979",19,"9","Length",4.6524,"none"
"13980",20,"9","Length",3.111,"none"
"13981",1,"10","Length",3.0878,"none"
"13982",2,"10","Length",2.5,"none"
"13983",3,"10","Length",2.5,"none"
"13984",4,"10","Length",4.1107,"none"
"13985",5,"10","Length",4.3779,"none"
"13986",6,"10","Length",4.1602,"none"
"13987",7,"10","Length",4.4643,"none"
"13988",8,"10","Length",2.7922,"none"
"13989",9,"10","Length",2.76,"none"
"13990",10,"10","Length",2.7539,"none"
"13991",11,"10","Length",2.8607,"none"
"13992",12,"10","Length",3.6618,"none"
"13993",13,"10","Length",4.8905,"none"
"13994",14,"10","Length",4.3285,"none"
"13995",15,"10","Length",4.3149,"none"
"13996",16,"10","Length",2.8682,"none"
"13997",17,"10","Length",3.0869,"none"
"13998",18,"10","Length",4.572,"none"
"13999",19,"10","Length",4.3381,"none"
"14000",20,"10","Length",3.0265,"none"
"14001",1,"11","Length",3.0029,"none"
"14002",2,"11","Length",4.5363,"none"
"14003",3,"11","Length",4.2707,"none"
"14004",4,"11","Length",3.485,"none"
"14005",5,"11","Length",3.4089,"none"
"14006",6,"11","Length",3.7603,"none"
"14007",7,"11","Length",4.5901,"none"
"14008",8,"11","Length",4.9506,"none"
"14009",9,"11","Length",4.9825,"none"
"14010",10,"11","Length",4.1398,"none"
"14011",11,"11","Length",4.6695,"none"
"14012",12,"11","Length",2.9017,"none"
"14013",13,"11","Length",2.8683,"none"
"14014",14,"11","Length",2.6306,"none"
"14015",15,"11","Length",2.5754,"none"
"14016",16,"11","Length",2.5,"none"
"14017",17,"11","Length",2.5,"none"
"14018",18,"11","Length",3.2598,"none"
"14019",19,"11","Length",2.6459,"none"
"14020",20,"11","Length",2.873,"none"
"14021",1,"12","Length",2.8451,"none"
"14022",2,"12","Length",2.564,"none"
"14023",3,"12","Length",2.5507,"none"
"14024",4,"12","Length",3.0516,"none"
"14025",5,"12","Length",2.9127,"none"
"14026",6,"12","Length",3.6291,"none"
"14027",7,"12","Length",3.108,"none"
"14028",8,"12","Length",3.6717,"none"
"14029",9,"12","Length",4.7178,"none"
"14030",10,"12","Length",4.4606,"none"
"14031",11,"12","Length",4.9564,"none"
"14032",12,"12","Length",4.5428,"none"
"14033",13,"12","Length",2.6031,"none"
"14034",14,"12","Length",2.6912,"none"
"14035",15,"12","Length",3.3939,"none"
"14036",16,"12","Length",3.8588,"none"
"14037",17,"12","Length",4.7646,"none"
"14038",18,"12","Length",2.5,"none"
"14039",19,"12","Length",2.5,"none"
"14040",20,"12","Length",3.0612,"none"
"14041",1,"13","Length",3.1142,"none"
"14042",2,"13","Length",2.5,"none"
"14043",3,"13","Length",2.5,"none"
"14044",4,"13","Length",3.0727,"none"
"14045",5,"13","Length",3.3164,"none"
"14046",6,"13","Length",2.7192,"none"
"14047",7,"13","Length",2.6818,"none"
"14048",8,"13","Length",2.6709,"none"
"14049",9,"13","Length",2.6391,"none"
"14050",10,"13","Length",3.4604,"none"
"14051",11,"13","Length",3.6167,"none"
"14052",12,"13","Length",4.9983,"none"
"14053",13,"13","Length",4.4663,"none"
"14054",14,"13","Length",2.5452,"none"
"14055",15,"13","Length",2.5443,"none"
"14056",16,"13","Length",2.8035,"none"
"14057",17,"13","Length",2.8118,"none"
"14058",18,"13","Length",3.2695,"none"
"14059",19,"13","Length",3.192,"none"
"14060",20,"13","Length",3.1248,"none"
"14061",1,"14","Length",2.901,"none"
"14062",2,"14","Length",4.9749,"none"
"14063",3,"14","Length",3.7905,"none"
"14064",4,"14","Length",3.985,"none"
"14065",5,"14","Length",3.7324,"none"
"14066",6,"14","Length",4.6512,"none"
"14067",7,"14","Length",4.3257,"none"
"14068",8,"14","Length",4.5406,"none"
"14069",9,"14","Length",4.6432,"none"
"14070",10,"14","Length",4.6485,"none"
"14071",11,"14","Length",4.5583,"none"
"14072",12,"14","Length",3.6455,"none"
"14073",13,"14","Length",4.1172,"none"
"14074",14,"14","Length",3.6268,"none"
"14075",15,"14","Length",3.827,"none"
"14076",16,"14","Length",2.5827,"none"
"14077",17,"14","Length",2.6749,"none"
"14078",18,"14","Length",2.5,"none"
"14079",19,"14","Length",2.5,"none"
"14080",20,"14","Length",3.0254,"none"
"14081",1,"15","Length",2.9302,"none"
"14082",2,"15","Length",2.9963,"none"
"14083",3,"15","Length",2.8719,"none"
"14084",4,"15","Length",4.6888,"none"
"14085",5,"15","Length",4.9875,"none"
"14086",6,"15","Length",2.7399,"none"
"14087",7,"15","Length",2.667,"none"
"14088",8,"15","Length",4.5815,"none"
"14089",9,"15","Length",4.6178,"none"
"14090",10,"15","Length",3.9885,"none"
"14091",11,"15","Length",2.5,"none"
"14092",12,"15","Length",2.5,"none"
"14093",13,"15","Length",3.8066,"none"
"14094",14,"15","Length",4.1314,"none"
"14095",15,"15","Length",4.2716,"none"
"14096",16,"15","Length",3.3004,"none"
"14097",17,"15","Length",3.0282,"none"
"14098",18,"15","Length",3.6547,"none"
"14099",19,"15","Length",3.7041,"none"
"14100",20,"15","Length",3.1671,"none"
"14101",1,"16","Length",2.8946,"none"
"14102",2,"16","Length",4.3924,"none"
"14103",3,"16","Length",3.4054,"none"
"14104",4,"16","Length",3.2214,"none"
"14105",5,"16","Length",3.2604,"none"
"14106",6,"16","Length",4.4941,"none"
"14107",7,"16","Length",2.9455,"none"
"14108",8,"16","Length",3.1709,"none"
"14109",9,"16","Length",4.8796,"none"
"14110",10,"16","Length",4.081,"none"
"14111",11,"16","Length",4.9132,"none"
"14112",12,"16","Length",2.5,"none"
"14113",13,"16","Length",2.5,"none"
"14114",14,"16","Length",3.4429,"none"
"14115",15,"16","Length",3.5003,"none"
"14116",16,"16","Length",4.0234,"none"
"14117",17,"16","Length",3.6722,"none"
"14118",18,"16","Length",3.8002,"none"
"14119",19,"16","Length",4.2102,"none"
"14120",20,"16","Length",3.2458,"none"
"14121",1,"17","Length",3.2601,"none"
"14122",2,"17","Length",3.9764,"none"
"14123",3,"17","Length",3.8763,"none"
"14124",4,"17","Length",3.5377,"none"
"14125",5,"17","Length",3.298,"none"
"14126",6,"17","Length",4.8758,"none"
"14127",7,"17","Length",4.5471,"none"
"14128",8,"17","Length",2.5365,"none"
"14129",9,"17","Length",2.5427,"none"
"14130",10,"17","Length",4.8597,"none"
"14131",11,"17","Length",2.8088,"none"
"14132",12,"17","Length",2.7265,"none"
"14133",13,"17","Length",2.5,"none"
"14134",14,"17","Length",2.5,"none"
"14135",15,"17","Length",2.9547,"none"
"14136",16,"17","Length",2.8875,"none"
"14137",17,"17","Length",4.8246,"none"
"14138",18,"17","Length",2.7416,"none"
"14139",19,"17","Length",2.8174,"none"
"14140",20,"17","Length",2.9487,"none"
"14141",1,"18","Length",2.9344,"none"
"14142",2,"18","Length",2.5,"none"
"14143",3,"18","Length",2.5,"none"
"14144",4,"18","Length",3.8759,"none"
"14145",5,"18","Length",3.196,"none"
"14146",6,"18","Length",3.4917,"none"
"14147",7,"18","Length",4.9385,"none"
"14148",8,"18","Length",4.7391,"none"
"14149",9,"18","Length",3.154,"none"
"14150",10,"18","Length",3.1409,"none"
"14151",11,"18","Length",4.2457,"none"
"14152",12,"18","Length",2.6508,"none"
"14153",13,"18","Length",2.6483,"none"
"14154",14,"18","Length",4.9819,"none"
"14155",15,"18","Length",3.4665,"none"
"14156",16,"18","Length",3.8983,"none"
"14157",17,"18","Length",4.6591,"none"
"14158",18,"18","Length",4.0307,"none"
"14159",19,"18","Length",3.9049,"none"
"14160",20,"18","Length",2.9581,"none"
"14161",1,"19","Length",3.3014,"none"
"14162",2,"19","Length",3.571,"none"
"14163",3,"19","Length",3.9155,"none"
"14164",4,"19","Length",2.6533,"none"
"14165",5,"19","Length",2.7459,"none"
"14166",6,"19","Length",3.8464,"none"
"14167",7,"19","Length",4.1064,"none"
"14168",8,"19","Length",4.9024,"none"
"14169",9,"19","Length",4.6305,"none"
"14170",10,"19","Length",2.746,"none"
"14171",11,"19","Length",2.7056,"none"
"14172",12,"19","Length",2.8734,"none"
"14173",13,"19","Length",3.0746,"none"
"14174",14,"19","Length",4.4149,"none"
"14175",15,"19","Length",3.0504,"none"
"14176",16,"19","Length",3.2897,"none"
"14177",17,"19","Length",3.0869,"none"
"14178",18,"19","Length",2.8496,"none"
"14179",19,"19","Length",2.7865,"none"
"14180",20,"19","Length",4.8805,"none"
"14181",1,"20","Length",3.0374,"none"
"14182",2,"20","Length",2.5,"none"
"14183",3,"20","Length",2.5,"none"
"14184",4,"20","Length",4.3976,"none"
"14185",5,"20","Length",2.9707,"none"
"14186",6,"20","Length",2.9258,"none"
"14187",7,"20","Length",3.3353,"none"
"14188",8,"20","Length",3.0821,"none"
"14189",9,"20","Length",2.6836,"none"
"14190",10,"20","Length",2.7618,"none"
"14191",11,"20","Length",4.489,"none"
"14192",12,"20","Length",4.9392,"none"
"14193",13,"20","Length",4.5532,"none"
"14194",14,"20","Length",4.273,"none"
"14195",15,"20","Length",3.8418,"none"
"14196",16,"20","Length",2.6216,"none"
"14197",17,"20","Length",2.6831,"none"
"14198",18,"20","Length",3.4306,"none"
"14199",19,"20","Length",4.7913,"none"
"14200",20,"20","Length",2.9598,"none"
"14201",1,"21","Length",2.9625,"none"
"14202",2,"21","Length",2.9549,"none"
"14203",3,"21","Length",2.8745,"none"
"14204",4,"21","Length",3.6633,"none"
"14205",5,"21","Length",3.525,"none"
"14206",6,"21","Length",3.8451,"none"
"14207",7,"21","Length",4.6156,"none"
"14208",8,"21","Length",4.4274,"none"
"14209",9,"21","Length",2.5283,"none"
"14210",10,"21","Length",2.5278,"none"
"14211",11,"21","Length",3.4636,"none"
"14212",12,"21","Length",4.3314,"none"
"14213",13,"21","Length",2.8552,"none"
"14214",14,"21","Length",2.8377,"none"
"14215",15,"21","Length",2.9282,"none"
"14216",16,"21","Length",2.967,"none"
"14217",17,"21","Length",4.6902,"none"
"14218",18,"21","Length",2.5,"none"
"14219",19,"21","Length",2.5,"none"
"14220",20,"21","Length",3.0864,"none"
"14221",1,"22","Length",3.0429,"none"
"14222",2,"22","Length",4.0047,"none"
"14223",3,"22","Length",2.6148,"none"
"14224",4,"22","Length",2.5482,"none"
"14225",5,"22","Length",4.8263,"none"
"14226",6,"22","Length",3.926,"none"
"14227",7,"22","Length",3.5064,"none"
"14228",8,"22","Length",3.8402,"none"
"14229",9,"22","Length",4.4731,"none"
"14230",10,"22","Length",4.0081,"none"
"14231",11,"22","Length",2.5,"none"
"14232",12,"22","Length",2.5,"none"
"14233",13,"22","Length",3.9586,"none"
"14234",14,"22","Length",4.6088,"none"
"14235",15,"22","Length",3.7764,"none"
"14236",16,"22","Length",3.7215,"none"
"14237",17,"22","Length",4.8173,"none"
"14238",18,"22","Length",2.5582,"none"
"14239",19,"22","Length",2.5658,"none"
"14240",20,"22","Length",2.9251,"none"
"14241",1,"23","Length",3.0134,"none"
"14242",2,"23","Length",4.154,"none"
"14243",3,"23","Length",2.5,"none"
"14244",4,"23","Length",2.5,"none"
"14245",5,"23","Length",2.6861,"none"
"14246",6,"23","Length",2.6843,"none"
"14247",7,"23","Length",3.1728,"none"
"14248",8,"23","Length",3.018,"none"
"14249",9,"23","Length",4.4653,"none"
"14250",10,"23","Length",4.3174,"none"
"14251",11,"23","Length",4.9517,"none"
"14252",12,"23","Length",4.2516,"none"
"14253",13,"23","Length",4.4875,"none"
"14254",14,"23","Length",3.4984,"none"
"14255",15,"23","Length",3.5716,"none"
"14256",16,"23","Length",2.7063,"none"
"14257",17,"23","Length",2.5934,"none"
"14258",18,"23","Length",2.992,"none"
"14259",19,"23","Length",2.8634,"none"
"14260",20,"23","Length",2.9996,"none"
"14261",1,"24","Length",2.9605,"none"
"14262",2,"24","Length",4.4397,"none"
"14263",3,"24","Length",3.8437,"none"
"14264",4,"24","Length",2.9423,"none"
"14265",5,"24","Length",2.7098,"none"
"14266",6,"24","Length",2.8746,"none"
"14267",7,"24","Length",2.7972,"none"
"14268",8,"24","Length",4.1826,"none"
"14269",9,"24","Length",4.9522,"none"
"14270",10,"24","Length",4.0032,"none"
"14271",11,"24","Length",2.938,"none"
"14272",12,"24","Length",2.9857,"none"
"14273",13,"24","Length",4.7026,"none"
"14274",14,"24","Length",4.6987,"none"
"14275",15,"24","Length",3.6156,"none"
"14276",16,"24","Length",3.8817,"none"
"14277",17,"24","Length",4.0876,"none"
"14278",18,"24","Length",2.5,"none"
"14279",19,"24","Length",2.5,"none"
"14280",20,"24","Length",2.8402,"none"
"14281",1,"25","Length",3.1427,"none"
"14282",2,"25","Length",2.5,"none"
"14283",3,"25","Length",2.5,"none"
"14284",4,"25","Length",4.2297,"none"
"14285",5,"25","Length",3.898,"none"
"14286",6,"25","Length",4.031,"none"
"14287",7,"25","Length",2.7807,"none"
"14288",8,"25","Length",2.7801,"none"
"14289",9,"25","Length",4.7126,"none"
"14290",10,"25","Length",4.8821,"none"
"14291",11,"25","Length",4.4673,"none"
"14292",12,"25","Length",4.7628,"none"
"14293",13,"25","Length",2.7285,"none"
"14294",14,"25","Length",2.7403,"none"
"14295",15,"25","Length",3.0686,"none"
"14296",16,"25","Length",3.2555,"none"
"14297",17,"25","Length",4.8139,"none"
"14298",18,"25","Length",4.1107,"none"
"14299",19,"25","Length",3.9115,"none"
"14300",20,"25","Length",3.0749,"none"
"14301",1,"26","Length",2.9266,"none"
"14302",2,"26","Length",3.6254,"none"
"14303",3,"26","Length",3.8982,"none"
"14304",4,"26","Length",2.7614,"none"
"14305",5,"26","Length",2.8039,"none"
"14306",6,"26","Length",2.6299,"none"
"14307",7,"26","Length",2.573,"none"
"14308",8,"26","Length",4.6853,"none"
"14309",9,"26","Length",2.5,"none"
"14310",10,"26","Length",2.5,"none"
"14311",11,"26","Length",4.1796,"none"
"14312",12,"26","Length",2.7691,"none"
"14313",13,"26","Length",2.7364,"none"
"14314",14,"26","Length",3.8293,"none"
"14315",15,"26","Length",4.5032,"none"
"14316",16,"26","Length",3.2198,"none"
"14317",17,"26","Length",3.3141,"none"
"14318",18,"26","Length",4.3172,"none"
"14319",19,"26","Length",4.5546,"none"
"14320",20,"26","Length",2.9633,"none"
"14321",1,"27","Length",2.8262,"none"
"14322",2,"27","Length",4.2228,"none"
"14323",3,"27","Length",4.6778,"none"
"14324",4,"27","Length",3.2712,"none"
"14325",5,"27","Length",3.453,"none"
"14326",6,"27","Length",4.8532,"none"
"14327",7,"27","Length",4.0156,"none"
"14328",8,"27","Length",4.6749,"none"
"14329",9,"27","Length",4.831,"none"
"14330",10,"27","Length",3.5635,"none"
"14331",11,"27","Length",2.5,"none"
"14332",12,"27","Length",2.5,"none"
"14333",13,"27","Length",3.6,"none"
"14334",14,"27","Length",4.1743,"none"
"14335",15,"27","Length",3.5021,"none"
"14336",16,"27","Length",3.2885,"none"
"14337",17,"27","Length",4.4581,"none"
"14338",18,"27","Length",2.5695,"none"
"14339",19,"27","Length",2.5542,"none"
"14340",20,"27","Length",3.1048,"none"
"14341",1,"28","Length",2.9352,"none"
"14342",2,"28","Length",3.9385,"none"
"14343",3,"28","Length",4.2003,"none"
"14344",4,"28","Length",2.5,"none"
"14345",5,"28","Length",2.5,"none"
"14346",6,"28","Length",2.6772,"none"
"14347",7,"28","Length",2.7158,"none"
"14348",8,"28","Length",4.701,"none"
"14349",9,"28","Length",4.2196,"none"
"14350",10,"28","Length",3.9094,"none"
"14351",11,"28","Length",2.6071,"none"
"14352",12,"28","Length",2.5859,"none"
"14353",13,"28","Length",3.9968,"none"
"14354",14,"28","Length",3.6137,"none"
"14355",15,"28","Length",3.545,"none"
"14356",16,"28","Length",3.2072,"none"
"14357",17,"28","Length",3.4355,"none"
"14358",18,"28","Length",3.538,"none"
"14359",19,"28","Length",4.9863,"none"
"14360",20,"28","Length",2.9781,"none"
"14361",1,"29","Length",2.9502,"none"
"14362",2,"29","Length",2.5,"none"
"14363",3,"29","Length",2.5,"none"
"14364",4,"29","Length",4.6431,"none"
"14365",5,"29","Length",3.4747,"none"
"14366",6,"29","Length",3.6652,"none"
"14367",7,"29","Length",4.3828,"none"
"14368",8,"29","Length",3.9665,"none"
"14369",9,"29","Length",4.5262,"none"
"14370",10,"29","Length",3.842,"none"
"14371",11,"29","Length",2.7621,"none"
"14372",12,"29","Length",2.6339,"none"
"14373",13,"29","Length",3.7542,"none"
"14374",14,"29","Length",2.9379,"none"
"14375",15,"29","Length",3.0769,"none"
"14376",16,"29","Length",4.7748,"none"
"14377",17,"29","Length",4.0067,"none"
"14378",18,"29","Length",2.9856,"none"
"14379",19,"29","Length",2.9518,"none"
"14380",20,"29","Length",2.7637,"none"
"14381",1,"30","Length",2.9295,"none"
"14382",2,"30","Length",3.466,"none"
"14383",3,"30","Length",3.2082,"none"
"14384",4,"30","Length",2.836,"none"
"14385",5,"30","Length",2.9563,"none"
"14386",6,"30","Length",3.4627,"none"
